window_start,window_end,region,count,avg_mag,max_mag,severity_breakdown,alert
2025-11-08T07:43:00Z,2025-11-08T07:44:00Z,"The Geysers, CA",1,1.15,1.15,{'micro': 1},
2025-11-08T07:38:00Z,2025-11-08T07:39:00Z,"The Geysers, CA",1,1.6,1.6,{'micro': 1},
2025-11-08T07:30:00Z,2025-11-08T07:31:00Z,"The Geysers, CA",1,0.75,0.75,{'micro': 1},
2025-11-08T06:27:00Z,2025-11-08T06:28:00Z,"The Geysers, CA",1,0.77,0.77,{'micro': 1},
2025-11-08T05:42:00Z,2025-11-08T05:43:00Z,"The Geysers, CA",1,0.72,0.72,{'micro': 1},
2025-11-08T05:03:00Z,2025-11-08T05:04:00Z,"The Geysers, CA",1,2.65,2.65,{'minor': 1},
2025-11-08T04:32:00Z,2025-11-08T04:33:00Z,"The Geysers, CA",1,1.08,1.08,{'micro': 1},
2025-11-08T02:48:00Z,2025-11-08T02:49:00Z,"The Geysers, CA",1,0.8,0.8,{'micro': 1},
2025-11-08T02:29:00Z,2025-11-08T02:30:00Z,"The Geysers, CA",1,1.02,1.02,{'micro': 1},
2025-11-08T00:26:00Z,2025-11-08T00:27:00Z,"The Geysers, CA",1,1.03,1.03,{'micro': 1},
2025-11-07T22:42:00Z,2025-11-07T22:43:00Z,"The Geysers, CA",2,1.575,1.76,{'micro': 2},
2025-11-07T22:30:00Z,2025-11-07T22:31:00Z,"The Geysers, CA",1,1.09,1.09,{'micro': 1},
2025-11-07T22:23:00Z,2025-11-07T22:24:00Z,"The Geysers, CA",1,0.8,0.8,{'micro': 1},
2025-11-07T22:19:00Z,2025-11-07T22:20:00Z,"The Geysers, CA",1,1.34,1.34,{'micro': 1},
2025-11-07T22:11:00Z,2025-11-07T22:12:00Z,"The Geysers, CA",1,1.28,1.28,{'micro': 1},
2025-11-07T18:45:00Z,2025-11-07T18:46:00Z,"The Geysers, CA",1,1.07,1.07,{'micro': 1},
2025-11-07T17:24:00Z,2025-11-07T17:25:00Z,"The Geysers, CA",1,0.85,0.85,{'micro': 1},
2025-11-07T16:17:00Z,2025-11-07T16:18:00Z,"The Geysers, CA",1,1.09,1.09,{'micro': 1},
2025-11-07T16:14:00Z,2025-11-07T16:15:00Z,"The Geysers, CA",1,1.3,1.3,{'micro': 1},
2025-11-08T07:20:00Z,2025-11-08T07:21:00Z,"Cobb, CA",1,0.69,0.69,{'micro': 1},
2025-11-07T18:32:00Z,2025-11-07T18:33:00Z,"Cobb, CA",1,1.77,1.77,{'micro': 1},
2025-11-07T17:57:00Z,2025-11-07T17:58:00Z,"Cobb, CA",1,0.75,0.75,{'micro': 1},
2025-11-07T17:33:00Z,2025-11-07T17:34:00Z,"Cobb, CA",1,1.48,1.48,{'micro': 1},
2025-11-08T04:29:00Z,2025-11-08T04:30:00Z,"Petropavlovsk-Kamchatsky, Russia",1,4.4,4.4,{'light': 1},
2025-11-07T18:01:00Z,2025-11-07T18:02:00Z,"Petropavlovsk-Kamchatsky, Russia",1,4.3,4.3,{'light': 1},
2025-11-07T16:05:00Z,2025-11-07T16:06:00Z,"Petropavlovsk-Kamchatsky, Russia",1,5.3,5.3,{'moderate': 1},
2025-11-08T02:16:00Z,2025-11-08T02:17:00Z,"Ocotillo Wells, CA",1,1.02,1.02,{'micro': 1},
2025-11-08T02:12:00Z,2025-11-08T02:13:00Z,"Ocotillo Wells, CA",1,0.97,0.97,{'micro': 1},
2025-11-08T04:16:00Z,2025-11-08T04:17:00Z,"Petersville, Alaska",1,2.2,2.2,{'minor': 1},
2025-11-08T01:20:00Z,2025-11-08T01:21:00Z,"Petersville, Alaska",1,2.0,2.0,{'minor': 1},
2025-11-08T05:56:00Z,2025-11-08T05:57:00Z,"Volcano, Hawaii",1,1.74,1.74,{'micro': 1},
2025-11-08T00:55:00Z,2025-11-08T00:56:00Z,"Volcano, Hawaii",1,1.15,1.15,{'micro': 1},
2025-11-08T07:12:00Z,2025-11-08T07:13:00Z,"False Pass, Alaska",1,0.59,0.59,{'micro': 1},
2025-11-08T06:32:00Z,2025-11-08T06:33:00Z,"False Pass, Alaska",1,0.77,0.77,{'micro': 1},
2025-11-08T03:06:00Z,2025-11-08T03:07:00Z,"False Pass, Alaska",1,1.01,1.01,{'micro': 1},
2025-11-07T21:09:00Z,2025-11-07T21:10:00Z,"False Pass, Alaska",1,0.77,0.77,{'micro': 1},
2025-11-07T21:02:00Z,2025-11-07T21:03:00Z,"False Pass, Alaska",1,0.8,0.8,{'micro': 1},
2025-11-07T20:57:00Z,2025-11-07T20:58:00Z,"False Pass, Alaska",1,0.72,0.72,{'micro': 1},
2025-11-07T18:03:00Z,2025-11-07T18:04:00Z,"False Pass, Alaska",1,0.97,0.97,{'micro': 1},
2025-11-07T16:57:00Z,2025-11-07T16:58:00Z,"False Pass, Alaska",1,0.28,0.28,{'micro': 1},
2025-11-07T16:13:00Z,2025-11-07T16:14:00Z,"False Pass, Alaska",1,0.48,0.48,{'micro': 1},
2025-11-07T19:16:00Z,2025-11-07T19:17:00Z,"Calumet, Oklahoma",1,1.04,1.04,{'micro': 1},
2025-11-07T21:44:00Z,2025-11-07T21:45:00Z,"Moreno Valley, CA",1,1.39,1.39,{'micro': 1},
2025-11-07T20:13:00Z,2025-11-07T20:14:00Z,"Denali National Park, Alaska",1,2.3,2.3,{'minor': 1},
2025-11-08T00:24:00Z,2025-11-08T00:25:00Z,"Toyah, Texas",1,1.5,1.5,{'micro': 1},
2025-11-07T16:13:00Z,2025-11-07T16:14:00Z,"Toyah, Texas",1,1.8,1.8,{'micro': 1},
2025-11-08T05:14:00Z,2025-11-08T05:15:00Z,"Whites City, New Mexico",1,2.7,2.7,{'minor': 1},
2025-11-08T00:41:00Z,2025-11-08T00:42:00Z,"Whites City, New Mexico",1,1.6,1.6,{'micro': 1},
2025-11-07T17:58:00Z,2025-11-07T17:59:00Z,"Whites City, New Mexico",1,1.5,1.5,{'micro': 1},
2025-11-08T07:21:00Z,2025-11-08T07:22:00Z,southern Mid-Atlantic Ridge,1,5.0,5.0,{'moderate': 1},
2025-11-08T07:02:00Z,2025-11-08T07:03:00Z,"Christine, Texas",1,1.7,1.7,{'micro': 1},
2025-11-08T06:45:00Z,2025-11-08T06:46:00Z,"Mission, Canada",1,1.23,1.23,{'micro': 1},
2025-11-08T06:26:00Z,2025-11-08T06:27:00Z,"Beauséjour, Guadeloupe",1,4.9,4.9,{'light': 1},
2025-11-08T06:21:00Z,2025-11-08T06:22:00Z,"Thatcher, Utah",1,1.63,1.63,{'micro': 1},
2025-11-08T06:18:00Z,2025-11-08T06:19:00Z,"Princeton, Canada",1,2.02,2.02,{'minor': 1},
2025-11-08T06:09:00Z,2025-11-08T06:10:00Z,"Petrolia, CA",1,2.84,2.84,{'minor': 1},
2025-11-07T16:40:00Z,2025-11-07T16:41:00Z,"Petrolia, CA",1,1.91,1.91,{'micro': 1},
2025-11-08T05:41:00Z,2025-11-08T05:42:00Z,"Glasgow, Oregon",1,1.53,1.53,{'micro': 1},
2025-11-08T05:41:00Z,2025-11-08T05:42:00Z,"Stella, Puerto Rico",1,3.26,3.26,{'minor': 1},
2025-11-08T05:35:00Z,2025-11-08T05:36:00Z,"Poth, Texas",1,1.6,1.6,{'micro': 1},
2025-11-08T05:15:00Z,2025-11-08T05:16:00Z,"Azusa, CA",1,1.23,1.23,{'micro': 1},
2025-11-08T05:05:00Z,2025-11-08T05:06:00Z,"Idyllwild, CA",1,0.77,0.77,{'micro': 1},
2025-11-08T04:59:00Z,2025-11-08T05:00:00Z,"Chase, Alaska",1,2.1,2.1,{'minor': 1},
2025-11-08T04:59:00Z,2025-11-08T05:00:00Z,"Forsan, Texas",1,1.0,1.0,{'micro': 1},
2025-11-07T17:43:00Z,2025-11-07T17:44:00Z,"Forsan, Texas",1,1.3,1.3,{'micro': 1},
2025-11-08T04:32:00Z,2025-11-08T04:33:00Z,"Lebec, CA",1,1.2,1.2,{'micro': 1},
2025-11-08T04:32:00Z,2025-11-08T04:33:00Z,"Magna, Utah",1,0.4,0.4,{'micro': 1},
2025-11-08T04:32:00Z,2025-11-08T04:33:00Z,"Chilliwack, Canada",1,1.97,1.97,{'micro': 1},
2025-11-08T04:28:00Z,2025-11-08T04:29:00Z,"Drumright, Oklahoma",1,1.62,1.62,{'micro': 1},
2025-11-08T04:03:00Z,2025-11-08T04:04:00Z,"Vallejo, CA",1,2.1,2.1,{'minor': 1},
2025-11-08T04:03:00Z,2025-11-08T04:04:00Z,"Home Gardens, CA",1,1.13,1.13,{'micro': 1},
