pickup_ts,PULocationID,payment_type,trip_distance,fare_amount,tip_amount,total_amount,trip_duration_min,avg_speed_mph,fare_per_mile,tip_pct,anomaly
2024-01-01 00:57:55,186,2,1.72,17.7,0.0,22.7,19.8,5.21,10.29,0.0,False
2024-01-01 00:03:00,140,1,1.8,10.0,3.75,18.75,6.6,16.36,5.56,0.375,False
2024-01-01 00:17:06,236,1,4.7,23.3,3.0,31.3,17.92,15.74,4.96,0.129,False
2024-01-01 00:36:38,79,1,1.4,10.0,2.0,17.0,8.3,10.12,7.14,0.2,False
2024-01-01 00:46:51,211,1,0.8,7.9,3.2,16.1,6.1,7.87,9.88,0.405,False
2024-01-01 00:54:08,148,1,4.7,29.6,6.9,41.5,32.38,8.71,6.3,0.233,False
2024-01-01 00:49:44,138,1,10.82,45.7,10.0,64.95,26.05,24.92,4.22,0.219,False
2024-01-01 00:30:40,246,2,3.0,25.4,0.0,30.4,28.0,6.43,8.47,0.0,False
2024-01-01 00:26:01,161,2,5.44,31.0,0.0,36.0,28.18,11.58,5.7,0.0,False
2024-01-01 00:28:08,113,2,0.04,3.0,0.0,8.0,1.13,2.12,75.0,0.0,False
2024-01-01 00:35:22,107,1,0.75,7.9,0.0,12.9,6.32,7.12,10.53,0.0,False
2024-01-01 00:25:00,158,1,1.2,14.9,3.95,23.85,9.05,7.96,12.42,0.265,False
2024-01-01 00:35:16,246,1,8.2,59.0,14.15,85.09,36.6,13.44,7.2,0.24,False
2024-01-01 00:43:27,68,1,0.4,5.8,1.25,12.05,3.73,6.43,14.5,0.216,False
2024-01-01 00:51:53,90,2,0.8,6.5,0.0,11.5,3.83,12.52,8.12,0.0,False
2024-01-01 00:50:09,132,2,5.0,21.2,0.0,25.45,13.8,21.74,4.24,0.0,False
2024-01-01 00:41:06,164,1,1.5,12.8,4.45,22.25,12.6,7.14,8.53,0.348,False
2024-01-01 00:56:38,141,1,1.5,9.3,3.0,17.3,6.65,13.53,6.2,0.323,False
2024-01-01 00:32:34,161,1,2.57,17.7,10.0,32.7,16.98,9.08,6.89,0.565,False
2024-01-01 00:52:30,263,1,0.66,6.5,2.88,14.38,5.12,7.74,9.85,0.443,False
2024-01-01 00:36:30,246,1,1.7,29.6,6.9,41.5,37.38,2.73,17.41,0.233,False
2024-01-01 00:44:24,158,1,0.94,8.6,2.72,16.32,7.55,7.47,9.15,0.316,False
2024-01-01 00:42:05,263,1,23.9,120.0,0.0,127.94,34.73,41.29,5.02,0.0,False
2024-01-01 00:12:35,148,1,1.08,8.6,2.72,16.32,6.77,9.58,7.96,0.316,False
2024-01-01 00:20:11,4,1,5.88,28.9,2.5,36.4,22.7,15.54,4.91,0.087,False
2024-01-01 00:44:01,238,1,2.22,13.5,0.0,18.5,10.5,12.69,6.08,0.0,False
2024-01-01 00:08:12,239,2,5.1,28.9,0.0,33.9,32.93,9.29,5.67,0.0,False
2024-01-01 00:36:25,233,1,2.09,12.8,3.56,21.36,11.02,11.38,6.12,0.278,False
2024-01-01 00:49:31,79,1,8.89,47.8,7.92,60.72,46.17,11.55,5.38,0.166,False
2024-01-01 00:15:34,162,1,2.1,14.2,3.8,23.0,13.28,9.49,6.76,0.268,False
2024-01-01 00:15:26,262,1,11.51,44.3,11.25,67.49,18.52,37.3,3.85,0.254,False
2024-01-01 00:18:36,239,2,1.79,19.8,0.0,24.8,22.22,4.83,11.06,0.0,False
2024-01-01 00:09:17,137,2,2.5,12.1,0.0,17.1,7.63,19.65,4.84,0.0,False
2024-01-01 00:21:40,140,1,1.6,9.3,3.55,17.85,5.42,17.72,5.81,0.382,False
